13080004 102 16592 1627 66625 49.12 352212 1.00 102916 10.00 222622 1.00 75751 45.02 385108 1.00 1769 22511.15 1988 1.00 33137 1.00 6506 503431.12 0000000000000000 pp500_production_2012
13080005 103 16592 2225 88321 47.96 458605 1.00 132997 10.00 288614 1.00 102284 43.96 512463 1.00 2338 21979.44 2682 1.00 41893 1.00 8705 491540.22 0000000000000000 pp500_production_2012
13080010 104 16593 275 10992 46.19 55411 1.00 16361 10.00 35647 1.00 12398 42.34 59430 1.00 299 21169.84 314 1.00 4930 1.00 944 473434.62 0000000000000000 pp500_production_2012
13080011 105 16593 3513 141010 45.80 704641 1.00 209455 10.00 454473 1.00 156643 41.99 750295 1.00 3871 20993.90 4372 1.00 63885 1.00 13805 469499.84 0000000000000000 pp500_production_2012
13080013 106 16593 2296 92903 41.79 424317 1.00 128186 10.00 278383 1.00 103298 38.31 448312 1.00 2593 19153.73 2784 1.00 37425 1.00 9161 428347.00 0000000000000000 pp500_production_2012
13080014 107 16593 3839 150587 40.31 663644 1.00 197784 10.00 427458 1.00 172884 36.95 726279 1.00 4184 18476.26 4722 1.00 56834 1.00 15389 413196.38 0000000000000000 pp500_production_2012
13080015 108 16593 450 17807 37.87 74287 1.00 22099 10.00 47735 1.00 20554 34.72 81820 1.00 495 17358.04 550 1.00 6203 1.00 1834 388189.00 0000000000000000 pp500_production_2012
13080080 109 16594 825 37069 66.61 263088 1.00 78901 10.00 171267 1.00 38710 61.06 263162 1.00 975 30529.90 1020 1.00 29316 1.00 3422 682759.50 0000000000000000 pp500_production_2012
13080083 110 16594 497 22387 59.52 142994 1.00 43425 10.00 94118 1.00 23781 54.56 144647 1.00 600 27278.37 638 1.00 14799 1.00 2124 610043.62 0000000000000000 pp500_production_2012
13080084 111 16594 1540 61446 58.98 387615 1.00 116880 10.00 253228 1.00 66511 54.06 398337 1.00 1661 27031.53 1788 1.00 38661 1.00 6118 604523.38 0000000000000000 pp500_production_2012
13080085 112 16594 1917 73323 57.08 447327 1.00 131732 10.00 284144 1.00 83811 52.32 489251 1.00 1974 26159.65 2245 1.00 42365 1.00 7627 585024.94 0000000000000000 pp500_production_2012
13080086 113 16594 2053 77287 55.11 457254 1.00 137278 10.00 298008 1.00 87571 50.52 490168 1.00 2119 25260.82 2448 1.00 42197 1.00 8139 564923.75 0000000000000000 pp500_production_2012
13080088 114 16594 1655 62520 52.17 350717 1.00 105834 10.00 229213 1.00 71576 47.82 381194 1.00 1719 23910.18 2006 1.00 31466 1.00 6517 534718.62 0000000000000000 pp500_production_2012
13080089 115 16594 905 26820 50.87 146379 1.00 44204 10.00 96044 1.00 31277 46.63 161820 1.00 743 23315.58 842 1.00 12809 1.00 2432 521421.09 0000000000000000 pp500_production_2012
